Date ,Description,Amount,Categroy
2025-06-01,Starbucks Coffee,6.5,Food & Drink
2025-06-02,Uber Ride,15,Transport
2025-06-03,Netflix Subscription,9.99,Entertainment
2025-06-10,Groceries,42.3,Food & Drink
2025-06-15,Gas Station,25,Transport
2025-07-02,Rent Payment,950,Rent
2025-07-03,Spotify Subscription,10.99,Entertainment
2025-07-07,Restaurant Dinner,60.5,Food & Drink
2025-07-14,Public Transit Card,30,Transport
2025-08-01,Rent Payment,950,Rent
2025-08-05,Internet Bill,55,Utilities
2025-08-06,Grocery Store,75,Food & Drink
2025-08-08,Gas Station,28,Transport
2025-08-20,Clothing Purchase,120,Shopping
2025-09-01,Rent Payment,950,Rent
2025-09-03,Movie Night,18,Entertainment
2025-09-10,Gym Membership,45,Health
2025-09-18,Electricity Bill,65,Utilities
2025-09-25,Grocery Store,80,Food & Drink
2025-10-01,Rent Payment,950,Rent
2025-10-04,Coffee Shop,8.75,Food & Drink
2025-10-06,Taxi Ride,20,Transport
2025-10-10,Streaming Subscription,14,Entertainment
2025-10-14,Grocery Store,75,Food & Drink
